,Make,Type,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price,Car_Age
1645,Lexus,IS,Gulf Arabic,Grey,Full,3.5,Gas,Automatic,166,Al-Ahsa,90000,5
1648,Chevrolet,Cruze,Saudi,Grey,Semi Full,1.6,Gas,Automatic,135020,Riyadh,24000,7
1650,Chevrolet,Malibu,Saudi,White,Semi Full,2.5,Gas,Automatic,175000,Dammam,49000,4
1651,Renault,Symbol,Saudi,White,Standard,1.6,Gas,Automatic,27000,Jeddah,25000,1
1654,Land Rover,Range Rover,Saudi,White,Semi Full,3.0,Gas,Automatic,125000,Riyadh,165000,6
1655,BMW,The 7,Saudi,Black,Semi Full,2.0,Gas,Automatic,176000,Al-Medina,26000,13
1659,Toyota,Avanza,Saudi,White,Standard,2.4,Gas,Automatic,233000,Riyadh,28000,6
1660,GMC,Sierra,Saudi,White,Full,6.2,Gas,Automatic,118000,Riyadh,100000,7
1661,Nissan,Sunny,Saudi,Grey,Standard,1.5,Gas,Automatic,69000,Riyadh,28000,3
1662,HAVAL,H2,Saudi,Brown,Full,1.5,Gas,Automatic,2800,Jeddah,57000,0
1664,Nissan,Maxima,Saudi,Red,Standard,3.5,Gas,Automatic,158543,Riyadh,61500,4
1665,Hyundai,Sonata,Saudi,Black,Standard,2.4,Gas,Automatic,127974,Riyadh,61500,2
1666,Hyundai,Tucson,Saudi,Blue,Standard,2.0,Gas,Automatic,143479,Riyadh,61500,3
1667,Toyota,Camry,Saudi,Silver,Standard,2.5,Gas,Automatic,101732,Riyadh,61500,4
1669,Chevrolet,Tahoe,Saudi,White,Standard,5.3,Gas,Automatic,139000,Riyadh,110000,5
1670,Kia,Rio,Saudi,Silver,Standard,1.4,Gas,Automatic,55000,Makkah,36000,2
1671,Lexus,LS,Other,White,Semi Full,1.8,Gas,Automatic,120000,Taef,77000,11
1672,Lexus,LS,Saudi,Grey,Full,1.8,Gas,Automatic,150000,Taef,95000,9
1675,Chevrolet,Silverado,Saudi,Red,Semi Full,4.3,Gas,Automatic,213000,Dammam,70000,7
1677,Mercedes,C,Other,White,Full,2.0,Gas,Automatic,99000,Dammam,129000,5
1678,Kia,Rio,Saudi,White,Full,1.4,Gas,Automatic,300,Dammam,57000,1
1681,Hyundai,Sonata,Saudi,White,Full,2.5,Gas,Automatic,154,Al-Ahsa,49000,4
1682,Mercedes,A,Gulf Arabic,White,Standard,2.0,Gas,Automatic,12500,Riyadh,150000,1
1683,Lexus,RX,Saudi,Brown,Full,3.5,Gas,Automatic,73000,Jeddah,110000,6
1684,Toyota,Land Cruiser,Saudi,White,Full,4.7,Gas,Automatic,137000,Al-Ahsa,150000,6
1685,Ford,Flex,Saudi,White,Standard,3.5,Gas,Automatic,128500,Qassim,49000,7
1686,Toyota,Land Cruiser,Gulf Arabic,White,Semi Full,4.5,Gas,Manual,315,Qassim,60000,14
1688,Ford,Victoria,Other,Silver,Full,4.6,Gas,Automatic,129000,Dammam,25000,10
1690,Mercedes,E,Other,Navy,Full,3.5,Gas,Automatic,168000,Jeddah,58000,11
1691,Hyundai,H1,Saudi,Silver,Standard,2.4,Gas,Automatic,106327,Riyadh,61500,3
1692,Hyundai,H1,Saudi,Silver,Standard,2.4,Gas,Automatic,90706,Riyadh,61500,3
1693,Mitsubishi,Pajero,Saudi,White,Semi Full,3.5,Gas,Automatic,153042,Riyadh,61500,5
1694,Hyundai,Sonata,Saudi,Grey,Standard,2.4,Gas,Automatic,84655,Riyadh,61500,3
1699,Chevrolet,Traverse,Saudi,White,Unknown,3.4,Gas,Automatic,56500,Tabouk,65000,5
1701,INFINITI,QX,Gulf Arabic,Black,Standard,2.0,Gas,Automatic,54000,Dammam,70000,4
1702,GMC,Yukon,Saudi,Black,Full,5.3,Gas,Automatic,48000,Dammam,145000,5
1704,GMC,Sierra,Saudi,Another Color,Standard,5.3,Gas,Automatic,61000,Dammam,145000,3
1705,Lexus,ES,Other,White,Full,3.5,Gas,Automatic,62000,Riyadh,136000,4
1707,Dodge,Charger,Other,Grey,Full,5.7,Gas,Automatic,123000,Riyadh,109000,5
1709,Toyota,Prado,Saudi,Grey,Full,4.0,Gas,Automatic,174000,Al-Medina,120000,5
1712,Lexus,IS,Other,White,Full,2.0,Gas,Automatic,96000,Dammam,108000,5
1715,Chrysler,C300,Saudi,White,Full,1.0,Gas,Automatic,220,Dammam,42000,8
1716,Mercedes,S,Saudi,White,Full,3.0,Gas,Automatic,110000,Dammam,113000,8
1717,Ford,Explorer,Other,White,Full,3.5,Gas,Automatic,128644,Riyadh,118000,5
1718,Dodge,Charger,Other,Grey,Semi Full,5.7,Gas,Automatic,141000,Riyadh,108000,4
1719,Chevrolet,Tahoe,Other,Another Color,Semi Full,6.2,Gas,Automatic,105920,Riyadh,149000,4
1720,Mazda,CX3,Gulf Arabic,Navy,Standard,2.0,Gas,Automatic,40301,Riyadh,61500,2
1721,Honda,Civic,Saudi,White,Standard,1.6,Gas,Automatic,20258,Riyadh,61500,4
1722,Honda,HRV,Saudi,Grey,Standard,1.8,Gas,Automatic,6018,Riyadh,62000,0
1723,Hyundai,Sonata,Saudi,Grey,Standard,2.4,Gas,Automatic,113057,Riyadh,62500,2
1724,Chrysler,300,Other,White,Semi Full,3.6,Gas,Automatic,108828,Riyadh,94000,4
1725,Chevrolet,Camaro,Other,Blue,Full,3.6,Gas,Automatic,118993,Riyadh,107000,5
1726,Mercedes,C,Other,White,Full,2.0,Gas,Automatic,51201,Riyadh,119000,6
1729,Mercedes,E,Other,Grey,Full,3.4,Gas,Automatic,72000,Riyadh,178000,4
1730,Ford,Explorer,Other,White,Full,3.5,Gas,Automatic,111251,Riyadh,74000,8
1731,Toyota,Innova,Saudi,Silver,Unknown,2.7,Gas,Automatic,286000,Al-Medina,38000,8
1733,Ford,Mustang,Other,Navy,Full,2.3,Gas,Automatic,79000,Dammam,122000,3
1734,Chevrolet,Tahoe,Other,White,Full,5.3,Gas,Automatic,149000,Dammam,149000,5
1735,Dodge,Durango,Saudi,Grey,Full,5.7,Gas,Automatic,199000,Riyadh,40000,10
1737,Chevrolet,Camaro,Other,Black,Full,3.6,Gas,Automatic,118000,Dammam,119000,3
1739,Chevrolet,Cruze,Saudi,White,Standard,1.6,Gas,Automatic,120000,Makkah,18000,8
1740,Toyota,Hilux,Saudi,White,Full,2.7,Gas,Manual,234000,Jazan,56000,6
1743,GMC,Yukon,Saudi,Bronze,Semi Full,5.3,Gas,Automatic,235000,Dammam,72000,7
1745,Toyota,Rav4,Saudi,White,Semi Full,2.5,Gas,Automatic,162000,Jeddah,60000,4
1748,Chrysler,C300,Other,White,Full,3.5,Gas,Automatic,83000,Dammam,86000,5
1749,Toyota,Hilux,Saudi,White,Semi Full,2.7,Gas,Manual,156495,Riyadh,62500,5
1750,Toyota,Innova,Saudi,White,Standard,2.7,Gas,Automatic,203312,Riyadh,62500,4
1751,Kia,Sportage,Saudi,Red,Standard,2.4,Gas,Automatic,57073,Riyadh,63500,3
1752,Nissan,Maxima,Saudi,Blue,Semi Full,3.5,Gas,Automatic,100943,Riyadh,63500,5
1754,Chrysler,S300,Other,Silver,Full,3.5,Gas,Automatic,105000,Dammam,112000,3
1759,Lexus,ES,Saudi,Grey,Semi Full,2.5,Gas,Automatic,3000,Makkah,177000,0
1760,Volkswagen,Touareg,Saudi,Brown,Semi Full,4.0,Gas,Automatic,183000,Qassim,69000,6
1761,GMC,Yukon,Saudi,Red,Semi Full,5.3,Gas,Automatic,60000,Makkah,175000,2
1762,Toyota,Camry,Saudi,Bronze,Full,2.5,Gas,Automatic,1700,Makkah,115000,1
1763,Mercedes,C,Gulf Arabic,Black,Full,2.0,Gas,Automatic,15000,Makkah,175000,2
1764,Chevrolet,Cruze,Saudi,White,Standard,1.6,Gas,Automatic,120000,Taef,18000,8
1766,Lexus,NX,Saudi,White,Standard,2.0,Gas,Automatic,1800,Jeddah,161000,3
1767,Toyota,Land Cruiser Pickup,Saudi,Brown,Full,4.0,Gas,Manual,67000,Jeddah,95000,2
1770,Toyota,Rav4,Saudi,Silver,Full,2.5,Gas,Automatic,174000,Jeddah,77000,4
1771,Hyundai,Sonata,Gulf Arabic,Blue,Full,1.5,Gas,Automatic,73000,Tabouk,63000,5
1776,Chevrolet,Impala,Other,Silver,Full,3.6,Gas,Automatic,169000,Al-Ahsa,72000,6
1779,Ford,Flex,Saudi,Black,Full,3.5,Gas,Automatic,71927,Riyadh,64000,8
1780,Toyota,Hilux,Saudi,White,Semi Full,2.7,Gas,Manual,111362,Riyadh,64500,3
1781,Toyota,Camry,Saudi,Blue,Full,2.5,Gas,Automatic,215735,Riyadh,64500,4
1791,Toyota,Land Cruiser Pickup,Saudi,Another Color,Full,4.0,Gas,Manual,26000,Jeddah,115000,5
1792,Hyundai,Tucson,Saudi,Grey,Semi Full,2.0,Gas,Automatic,60000,Jeddah,70000,3
1793,Hyundai,Sonata,Saudi,Grey,Standard,2.4,Gas,Automatic,125000,Jeddah,57000,3
1794,Hyundai,Elantra,Saudi,Grey,Standard,1.6,Gas,Automatic,144000,Jeddah,45000,3
1795,Toyota,Camry,Saudi,Red,Semi Full,2.5,Gas,Automatic,117000,Jeddah,43000,7
1796,Hyundai,Accent,Saudi,White,Standard,1.4,Gas,Automatic,83000,Jeddah,37000,2
1797,Toyota,Yaris,Saudi,White,Standard,1.5,Gas,Automatic,98000,Jeddah,35000,3
1798,Toyota,Yaris,Saudi,Grey,Standard,1.5,Gas,Automatic,68000,Jeddah,35000,3
1799,Hyundai,Accent,Saudi,Silver,Standard,1.4,Gas,Automatic,96000,Jeddah,34000,3
1800,Hyundai,Accent,Saudi,White,Standard,1.4,Gas,Automatic,127000,Jeddah,33000,3
1801,Hyundai,Accent,Saudi,White,Standard,1.4,Gas,Automatic,120000,Jeddah,32000,3
1802,Hyundai,Sonata,Saudi,White,Standard,2.4,Gas,Automatic,94000,Riyadh,58500,2
1803,Lexus,UX,Gulf Arabic,White,Full,2.0,Gas,Automatic,10000,Dammam,176000,1
1804,Mercedes,C,Other,White,Full,2.0,Gas,Automatic,54000,Dammam,153000,4
1806,Hyundai,Elantra,Other,White,Standard,1.6,Diesel,Automatic,45000,Riyadh,54000,3
1807,Toyota,Camry,Saudi,White,Standard,2.5,Gas,Automatic,124004,Riyadh,65000,2
1808,Mazda,CX3,Saudi,Blue,Standard,2.0,Gas,Automatic,14501,Riyadh,66000,1
1809,Ford,Taurus,Saudi,Black,Standard,2.0,Gas,Automatic,78508,Riyadh,65000,3
1817,Honda,Accord,Saudi,Navy,Full,3.5,Gas,Automatic,25400,Jeddah,90000,4
1818,Lexus,ES,Gulf Arabic,Golden,Semi Full,1.6,Gas,Automatic,12472,Dammam,91200,5
1819,Nissan,Sunny,Saudi,White,Standard,1.4,Gas,Automatic,108000,Riyadh,19000,10
1820,Chevrolet,Silverado,Saudi,White,Full,5.3,Gas,Automatic,33000,Tabouk,170000,2
1821,Chevrolet,Silverado,Saudi,White,Full,5.3,Gas,Automatic,33000,Tabouk,170000,2
1822,Chevrolet,Silverado,Saudi,White,Full,5.3,Gas,Automatic,33000,Tabouk,170000,2
1825,Ford,Expedition,Gulf Arabic,Black,Full,3.5,Gas,Automatic,100000,Qassim,98000,5
1826,Lexus,ES,Other,White,Full,3.5,Gas,Automatic,103000,Jeddah,102000,5
1827,Hyundai,Santa fe,Saudi,White,Full,3.3,Gas,Automatic,246000,Khobar,60000,6
1830,Toyota,Sequoia,Other,Black,Full,5.7,Gas,Automatic,53000,Riyadh,90000,8
1834,MG,RX5,Saudi,Silver,Full,2.0,Gas,Automatic,7855,Riyadh,65500,1
1835,Jeep,Compass,Saudi,Brown,Semi Full,2.4,Gas,Automatic,43834,Riyadh,66000,2
1836,Ford,Edge,Saudi,Black,Standard,3.5,Gas,Automatic,105344,Riyadh,66500,5
1837,Hyundai,Azera,Saudi,White,Full,3.0,Gas,Automatic,91747,Riyadh,66500,5
1839,Kia,Carnival,Gulf Arabic,Silver,Full,3.3,Gas,Automatic,34200,Al-Ahsa,50000,6
1840,Kia,Rio,Saudi,Red,Standard,1.4,Gas,Automatic,17500,Al-Ahsa,37000,2
1841,Mercury,Marquis,Saudi,Blue,Semi Full,4.0,Gas,Automatic,377000,Al-Ahsa,21000,12
1842,Hyundai,Sonata,Saudi,White,Semi Full,2.4,Gas,Automatic,78000,Riyadh,63000,3
1843,Nissan,Z370,Saudi,Grey,Full,3.7,Gas,Manual,3000,Dammam,129000,1
1844,Peugeot,Partner,Saudi,White,Standard,1.6,Gas,Manual,114000,Dammam,22000,5
1845,Chevrolet,Camaro,Other,Red,Full,2.0,Gas,Automatic,81633,Riyadh,120000,4
1846,Chevrolet,Tahoe,Saudi,Black,Semi Full,5.3,Gas,Automatic,67000,Riyadh,176000,1
1847,Nissan,Sunny,Saudi,White,Semi Full,1.5,Gas,Automatic,58244,Riyadh,30000,3
1848,Audi,A8,Saudi,Bronze,Full,3.0,Gas,Automatic,42000,Dammam,165000,5
1849,Ford,Taurus,Other,White,Semi Full,3.5,Gas,Automatic,108000,Dammam,79000,5
1850,Toyota,Yaris,Saudi,Silver,Standard,1.5,Gas,Automatic,134000,Jeddah,36000,3
1851,Hyundai,Accent,Saudi,White,Standard,1.4,Gas,Automatic,91000,Riyadh,30000,4
1853,Chevrolet,Malibu,Saudi,Red,Full,2.4,Gas,Automatic,175500,Khobar,32000,6
1857,Toyota,Prado,Saudi,White,Standard,2.7,Gas,Automatic,263000,Khobar,55000,10
1859,Ford,Mustang,Other,Red,Full,2.3,Gas,Automatic,52000,Riyadh,139000,2
1860,Ford,Taurus,Other,White,Full,3.5,Gas,Automatic,91815,Riyadh,86000,5
1862,Mitsubishi,Pajero,Saudi,White,Semi Full,3.5,Gas,Automatic,161709,Riyadh,66500,4
1863,Hyundai,Kona,Saudi,White,Standard,2.0,Gas,Automatic,10239,Riyadh,66500,1
1864,Mazda,6,Saudi,Red,Standard,2.5,Gas,Automatic,68263,Riyadh,66500,3
1866,Nissan,Armada,Saudi,Black,Full,5.6,Gas,Automatic,184000,Jeddah,30000,15
1868,Chevrolet,Tahoe,Saudi,Silver,Full,5.8,Gas,Automatic,340000,Tabouk,40000,11
1871,Toyota,Sequoia,Saudi,White,Standard,5.7,Gas,Automatic,114000,Al-Medina,89000,8
1872,Toyota,Yaris,Saudi,White,Standard,1.4,Gas,Automatic,128000,Dammam,25000,5
1874,Kia,Rio,Saudi,White,Standard,1.4,Gas,Automatic,237000,Dammam,21000,5
1875,Ford,Taurus,Other,Brown,Full,3.5,Gas,Automatic,104000,Dammam,74000,6
1876,Toyota,Sequoia,Saudi,Silver,Semi Full,5.7,Gas,Automatic,85000,Dammam,125000,6
1877,Ford,Expedition,Saudi,Black,Standard,5.4,Gas,Automatic,84000,Dammam,72000,8
1878,Kia,Sportage,Other,White,Standard,2.0,Diesel,Automatic,55000,Riyadh,68000,5
1880,GMC,Yukon,Saudi,Black,Semi Full,1.6,Gas,Automatic,250000,Riyadh,22000,13
1881,Cadillac,CTS,Saudi,Another Color,Full,3.0,Gas,Automatic,101000,Yanbu,40000,10
1883,Mazda,6,Saudi,White,Standard,2.5,Gas,Automatic,78000,Riyadh,76000,1
1888,Toyota,Camry,Gulf Arabic,White,Semi Full,2.5,Gas,Automatic,119550,Riyadh,66500,4
1889,Toyota,Fortuner,Saudi,Black,Standard,2.7,Gas,Automatic,164277,Riyadh,66500,6
1890,Ford,Expedition,Saudi,Grey,Full,5.4,Gas,Manual,225299,Riyadh,66587,8
1891,Hyundai,Sonata,Saudi,White,Standard,2.4,Gas,Automatic,49515,Riyadh,68000,2
1895,Ford,Expedition,Other,Grey,Standard,5.4,Gas,Automatic,121000,Riyadh,40000,8
1896,Mitsubishi,Pajero,Gulf Arabic,Another Color,Full,3.8,Gas,Automatic,132000,Aseer,63000,5
1897,Chevrolet,Malibu,Saudi,White,Full,3.6,Gas,Automatic,177000,Dammam,30000,8
1898,Hyundai,Elantra,Saudi,White,Standard,1.6,Gas,Automatic,102000,Dammam,48000,2
1899,Chevrolet,Impala,Saudi,Black,Standard,3.6,Gas,Automatic,52000,Riyadh,75000,3
1901,Chevrolet,Camaro,Other,Red,Full,6.2,Gas,Automatic,116000,Dammam,129000,4
1902,Ford,Taurus,Saudi,Another Color,Standard,3.5,Gas,Automatic,63000,Jeddah,80000,3
1903,Toyota,Sequoia,Saudi,White,Semi Full,5.7,Gas,Automatic,92000,Dammam,108000,5
1904,Ford,Taurus,Saudi,Silver,Standard,3.5,Gas,Automatic,132000,Dammam,65000,4
1905,Chevrolet,Impala,Saudi,White,Semi Full,3.6,Gas,Automatic,181000,Riyadh,60000,7
1906,Ford,Taurus,Saudi,White,Semi Full,2.5,Gas,Automatic,172000,Jeddah,52000,6
1908,Toyota,Fortuner,Saudi,White,Standard,2.7,Gas,Automatic,250000,Makkah,55000,6
1909,Nissan,Sentra,Gulf Arabic,White,Standard,1.6,Gas,Automatic,97000,Al-Ahsa,39000,3
1910,Mercedes,ML,Gulf Arabic,Another Color,Full,5.5,Gas,Automatic,140000,Riyadh,120000,8
1912,GMC,Sierra,Saudi,Silver,Full,5.7,Gas,Automatic,109000,Dammam,100000,5
1916,Honda,Accord,Gulf Arabic,Grey,Standard,2.4,Gas,Automatic,106214,Riyadh,67500,5
1917,Toyota,Rav4,Saudi,Grey,Standard,2.5,Gas,Automatic,235614,Riyadh,67500,4
1918,Nissan,Altima,Gulf Arabic,White,Semi Full,2.5,Gas,Automatic,48096,Riyadh,68000,3
1922,Lincoln,MKX,Other,White,Full,3.7,Gas,Automatic,99000,Dammam,100000,5
1923,Fiat,500,Saudi,Black,Full,1.4,Gas,Automatic,19000,Dammam,70000,2
1924,Chevrolet,Malibu,Saudi,Silver,Full,3.6,Gas,Automatic,165000,Dammam,30000,8
1925,Chevrolet,Malibu,Saudi,Silver,Semi Full,2.5,Gas,Automatic,203000,Dammam,32000,5
1926,Changan,CS35,Saudi,Grey,Full,1.6,Gas,Automatic,150000,Dammam,40000,2
1927,Chevrolet,Camaro,Other,Yellow,Full,3.6,Gas,Automatic,118000,Dammam,113000,4
1928,Porsche,Macan,Saudi,Another Color,Full,3.5,Gas,Automatic,93000,Jeddah,138000,6
1929,Mazda,CX9,Saudi,Silver,Full,3.7,Gas,Automatic,260000,Dammam,63000,6
1930,Toyota,Hiace,Saudi,White,Standard,2.4,Gas,Manual,307000,Riyadh,60000,5
1931,Toyota,Camry,Saudi,Silver,Standard,2.5,Gas,Automatic,109000,Qassim,80000,3
1937,Hyundai,Santa fe,Saudi,Black,Full,1.4,Gas,Automatic,265000,Qassim,52000,7
1939,Lexus,ES,Saudi,Another Color,Full,3.5,Gas,Automatic,250000,Al-Namas,25000,14
1943,Volkswagen,Passat,Saudi,Brown,Standard,2.5,Gas,Automatic,88673,Jeddah,50000,7
1944,Isuzu,D-MAX,Saudi,White,Standard,2.5,Diesel,Manual,203957,Riyadh,68500,3
1945,Mazda,CX9,Saudi,White,Full,3.7,Gas,Automatic,217162,Riyadh,68500,6
1946,Kia,Sorento,Saudi,White,Full,3.5,Gas,Automatic,93914,Riyadh,68500,5
1947,Toyota,Hiace,Saudi,White,Standard,2.7,Gas,Manual,192692,Riyadh,68500,4
1948,Chevrolet,Tahoe,Saudi,Bronze,Semi Full,5.5,Gas,Automatic,450,Jeddah,27500,14
1949,Ford,Explorer,Saudi,Black,Standard,3.6,Gas,Automatic,158000,Riyadh,55000,7
1951,Kia,Cadenza,Other,Another Color,Full,3.0,Gas,Automatic,33212,Qassim,66000,5
1952,Lexus,ES,Other,White,Full,3.5,Gas,Automatic,69000,Dammam,142000,4
1953,Lexus,GS,Saudi,Bronze,Full,3.5,Gas,Automatic,80000,Dammam,175000,4
1955,Isuzu,D-MAX,Saudi,White,Standard,2.5,Diesel,Manual,288000,Dammam,42000,7
1956,Chevrolet,Suburban,Saudi,Grey,Standard,5.3,Gas,Automatic,37000,Riyadh,148000,2
1958,Toyota,Yaris,Saudi,Silver,Semi Full,1.5,Gas,Automatic,42628,Dammam,38500,2
1959,Mercedes,CLS,Gulf Arabic,Black,Full,3.0,Gas,Automatic,45000,Dammam,168000,5
1960,Chevrolet,Camaro,Other,Blue,Full,3.6,Gas,Automatic,79000,Dammam,113000,3
1962,Ford,Taurus,Saudi,White,Standard,2.5,Gas,Automatic,247000,Qassim,55000,6
1964,Cadillac,CTS,Saudi,Blue,Semi Full,3.8,Gas,Automatic,137000,Al-Medina,45000,8
1966,Toyota,Land Cruiser,Saudi,White,Full,4.6,Gas,Automatic,264000,Jeddah,140000,6
1967,Nissan,Sentra,Saudi,Silver,Semi Full,1.4,Gas,Automatic,165000,Riyadh,18500,7
1968,Mitsubishi,Pajero,Gulf Arabic,Golden,Semi Full,3.5,Gas,Automatic,108000,Riyadh,77000,3
1969,Audi,A8,Other,Black,Full,4.0,Gas,Automatic,100000,Riyadh,108000,8
1970,Toyota,Camry,Saudi,Grey,Semi Full,2.4,Gas,Automatic,77000,Riyadh,63000,5
1971,Hyundai,Accent,Saudi,White,Standard,1.4,Gas,Automatic,69000,Riyadh,34000,4
1973,Toyota,Hiace,Saudi,White,Standard,2.7,Gas,Manual,143594,Riyadh,69000,4
1974,Mazda,6,Saudi,Grey,Standard,2.5,Gas,Automatic,64970,Riyadh,69500,2
1975,Isuzu,D-MAX,Saudi,White,Standard,2.5,Diesel,Manual,52849,Riyadh,69500,3
1976,Hyundai,Sonata,Saudi,Black,Semi Full,2.4,Gas,Automatic,84795,Riyadh,69500,3
1979,Chevrolet,Caprice,Saudi,Black,Full,6.0,Gas,Automatic,172000,Riyadh,108000,6
1980,Honda,Accord,Gulf Arabic,Red,Semi Full,2.4,Gas,Automatic,80000,Riyadh,69000,5
1981,Toyota,Prado,Saudi,White,Semi Full,2.7,Gas,Automatic,5000,Riyadh,153000,1
1982,Lexus,IS,Saudi,Black,Semi Full,3.5,Gas,Automatic,131,Riyadh,166000,3
1983,Honda,Accord,Gulf Arabic,Blue,Full,2.5,Gas,Automatic,75000,Riyadh,90000,4
1984,Ford,Expedition,Gulf Arabic,White,Standard,3.5,Gas,Automatic,90000,Riyadh,97000,4
1985,Lexus,ES,Gulf Arabic,Brown,Full,2.4,Gas,Automatic,20000,Riyadh,126000,3
1986,Ford,Edge,Gulf Arabic,Blue,Standard,3.5,Gas,Automatic,82000,Riyadh,80000,4
1987,Lexus,RX,Saudi,Golden,Full,3.5,Gas,Automatic,104000,Riyadh,148000,5
1988,Ford,Flex,Saudi,Grey,Semi Full,3.5,Gas,Automatic,167000,Riyadh,53000,6
1989,Nissan,Altima,Saudi,White,Standard,2.5,Gas,Automatic,40000,Riyadh,59000,4
1990,Ford,Explorer,Gulf Arabic,White,Standard,3.5,Gas,Automatic,94000,Riyadh,82000,4
1991,Ford,Expedition,Saudi,White,Standard,3.5,Gas,Automatic,103000,Riyadh,83000,5
1992,Toyota,Hiace,Other,White,Standard,2.7,Gas,Manual,99999,Riyadh,69000,5
1993,Chevrolet,Impala,Gulf Arabic,White,Standard,3.5,Gas,Automatic,16000,Riyadh,95000,2
1994,Mercedes,C,Other,Black,Full,2.0,Gas,Automatic,86000,Jeddah,105000,4
1996,Toyota,Corolla,Saudi,White,Standard,1.6,Gas,Automatic,65000,Jeddah,57000,3
1997,Honda,Civic,Saudi,Silver,Standard,1.6,Gas,Automatic,122,Jeddah,43000,4
1998,Mercedes,Viano,Saudi,Black,Semi Full,3.5,Gas,Automatic,154000,Jeddah,45000,8
1999,Hyundai,Santa fe,Saudi,Brown,Standard,3.3,Gas,Automatic,134000,Riyadh,48000,5
2000,Toyota,Prado,Saudi,White,Semi Full,3.8,Gas,Manual,186000,Riyadh,55000,8
2001,Mazda,CX9,Saudi,White,Semi Full,3.5,Gas,Automatic,123000,Riyadh,42000,7
2002,Ford,Taurus,Saudi,Black,Semi Full,3.5,Gas,Automatic,154706,Riyadh,69500,6
2003,Nissan,X-Trail,Saudi,Brown,Standard,2.5,Gas,Automatic,30507,Riyadh,69500,3
2004,Audi,A3,Saudi,Red,Semi Full,1.4,Gas,Automatic,70278,Riyadh,69500,5
2005,Toyota,Innova,Saudi,White,Standard,2.7,Gas,Automatic,57482,Riyadh,69500,4
2007,Hyundai,Accent,Other,Another Color,Standard,1.4,Gas,Manual,252000,Taef,20000,7
2008,Chevrolet,Tahoe,Saudi,Black,Standard,5.3,Gas,Automatic,121000,Riyadh,92000,6
2010,GMC,Yukon,Saudi,Silver,Standard,5.3,Gas,Automatic,170000,Arar,102000,6
2012,Hyundai,Sonata,Other,Black,Semi Full,1.7,Diesel,Automatic,82190,Qassim,63000,4
2014,Kia,Quoris,Saudi,Another Color,Full,3.5,Gas,Automatic,75000,Dammam,75000,6
2015,Isuzu,D-MAX,Saudi,White,Standard,2.5,Diesel,Manual,380000,Dammam,29000,11
2019,Hyundai,Azera,Other,White,Full,3.0,Gas,Automatic,111000,Dammam,86000,5
2020,GMC,Yukon,Saudi,Black,Full,5.3,Gas,Automatic,235000,Dammam,65000,14
2021,Hyundai,Elantra,Other,White,Standard,1.6,Diesel,Automatic,55000,Riyadh,48000,5
2022,Hyundai,Santa fe,Saudi,White,Full,3.3,Gas,Automatic,157000,Al-Ahsa,69000,5
2023,Toyota,Rav4,Saudi,Black,Standard,2.5,Gas,Automatic,231000,Jubail,52000,5
2025,GMC,Yukon,Saudi,Golden,Semi Full,5.5,Gas,Automatic,145000,Al-Medina,100000,5
2026,Toyota,Camry,Saudi,Another Color,Full,2.5,Gas,Automatic,166,Riyadh,55000,4
2030,Toyota,Innova,Saudi,White,Standard,2.7,Gas,Automatic,106377,Riyadh,69500,4
2031,Toyota,Hiace,Saudi,White,Standard,2.7,Gas,Manual,133148,Riyadh,70000,4
2032,Toyota,Hiace,Saudi,White,Standard,2.7,Gas,Manual,134007,Riyadh,70000,4
2033,Hyundai,Kona,Saudi,Grey,Semi Full,2.0,Gas,Automatic,30271,Riyadh,70000,1
2034,Hyundai,H1,Saudi,White,Standard,2.4,Gas,Automatic,154000,Al-Ahsa,54000,5
2035,Chevrolet,Tahoe,Saudi,Silver,Semi Full,5.3,Gas,Automatic,104000,Al-Ahsa,112000,5
2036,Ford,Edge,Saudi,Black,Semi Full,3.5,Gas,Automatic,92000,Riyadh,81000,4
2038,Hyundai,Elantra,Other,White,Full,1.6,Diesel,Automatic,101715,Qassim,52000,5
2040,Nissan,Bus Urvan,Saudi,White,Standard,2.5,Gas,Manual,173000,Dammam,25000,12
2041,Chevrolet,Caprice,Saudi,Black,Full,5.7,Gas,Automatic,148316,Dammam,65000,8
2042,MG,RX8,Saudi,Grey,Semi Full,2.0,Gas,Automatic,19000,Jeddah,88000,1
2043,Ford,Expedition,Saudi,Black,Standard,5.4,Gas,Automatic,145000,Riyadh,38000,8
2045,Nissan,Z370,Saudi,Grey,Full,3.7,Gas,Manual,3000,Dammam,129000,1
2046,GMC,Yukon,Saudi,Another Color,Standard,5.3,Gas,Automatic,83000,Jeddah,165000,2
2047,Toyota,Hilux,Saudi,White,Full,2.7,Gas,Automatic,2500,Dammam,105000,5
2048,Chevrolet,Tahoe,Saudi,White,Standard,5.3,Gas,Automatic,61000,Jeddah,80000,9
2056,Toyota,Yaris,Saudi,White,Standard,1.5,Gas,Automatic,119000,Dammam,32000,5
2057,Hyundai,Tucson,Saudi,Blue,Standard,2.0,Gas,Automatic,17002,Jeddah,70500,3
2058,Honda,Accord,Saudi,Black,Full,2.4,Gas,Automatic,139806,Riyadh,71500,4
2059,Toyota,Hilux,Gulf Arabic,White,Semi Full,2.7,Gas,Manual,122084,Riyadh,71500,5
2060,Hyundai,Sonata,Saudi,Navy,Semi Full,2.4,Gas,Automatic,65325,Riyadh,71500,3
